"EID","label","type","X","Y","status"
102,"Abuntlet Lake IR 4","Indian Reserve",-125.4,52.566667,"ADOPTED"
103,"Abyss Glacier","Glacier",-118.09,51.36,"ADOPTED"
104,"Academus Lake","Lake",-125.783333,55.466667,"ADOPTED"
105,"Academy Ridge","Ridge",-125.433333,58.7,"ADOPTED"
106,"Ace Creek","Creek",-128.054167,55.248611,"ADOPTED"
107,"Achaean Glacier","Glacier",-124.066667,57.366667,"ADOPTED"
108,"Achilles Bank","Bank",-124.5,49.55,"ADOPTED"
109,"Ackerman Creek","Creek",-117.906944,50.05,"ADOPTED"
110,"Acland Islands","Island",-123.383333,48.816667,"ADOPTED"
111,"Acland Rock","Rock",-124.15,49.65,"ADOPTED"
112,"Mount Acland","Mount",-119.833333,49.7,"ADOPTED"
113,"Acme Creek","Creek",-117.8,49.1,"ADOPTED"
114,"Acme Lake","Lake",-119.216667,49.75,"ADOPTED"
115,"Aconitum Creek","Creek",-131.633333,59.466667,"ADOPTED"
116,"Aconitum Lake","Lake",-131.6,59.4,"ADOPTED"
117,"Acorn Creek","Creek",-116.633333,49.083333,"ADOPTED"
118,"Acorn Island","Island",-123.683333,49.15,"ADOPTED"
119,"Acorn Lake","Lake",-125.766667,53.991667,"ADOPTED"
120,"Acorn Lake","Lake",-126.533333,55.4,"ADOPTED"
121,"Acous IR 1","Indian Reserve",-127.583333,50.1,"ADOPTED"
122,"Acous Peninsula","Peninsula",-127.6,50.116667,"ADOPTED"
123,"Actaeon Sound","Sound",-127.1,50.95,"ADOPTED"
124,"Active Creek","Creek",-117.15,49.25,"ADOPTED"
125,"Active Islet","Islet",-128.165278,52.208611,"ADOPTED"
126,"Active Pass","Pass",-123.3,48.866667,"ADOPTED"
127,"Active Point","Point",-123.666667,48.95,"ADOPTED"
128,"Actress Passage","Passage",-127.133333,50.933333,"ADOPTED"
129,"Ada Cove","Cove",-128.05,52.066667,"ADOPTED"
130,"Ada Island","Island",-124.3,49.516667,"RESCINDED"
131,"Ada Islands","Islands",-124.083333,49.283333,"ADOPTED"
132,"Ada Islands","Islands",-130.383333,54.083333,"ADOPTED"
133,"Ada Rock","Rock",-127.783333,51.316667,"ADOPTED"
134,"Ada Shoal","Shoal",-128.5,52.266667,"ADOPTED"
135,"Mount Ada","Mount",-125.65,52.133333,"ADOPTED"
136,"Mount Adair","Mount",-126.5,49.583333,"ADOPTED"
137,"Adam Creek","Creek",-128.783333,56.166667,"ADOPTED"
138,"Adam Lake","Lake",-122.75,54.35,"ADOPTED"
139,"Adam River","River",-126.283333,50.466667,"ADOPTED"
140,"Adam Rocks","Rocks",-131.233333,52.116667,"ADOPTED"
141,"Mount Adam","Mount",-126.216667,50.116667,"ADOPTED"
142,"Adamant Glacier","Glacier",-117.866667,51.708333,"ADOPTED"
143,"Adamant Mountain","Mountain",-117.9,51.733333,"ADOPTED"
144,"Adamant Range","Range",-117.866667,51.783333,"ADOPTED"
145,"Adams Bay","Bay",-128.983333,52.933333,"ADOPTED"
146,"Adams Creek","Creek",-120.983333,52.6,"ADOPTED"
147,"Adams Creek","Creek",-122.6,56.166667,"ADOPTED"
148,"Adams Creek","Creek",-117.633333,50.683333,"ADOPTED"
149,"Adams Creek","Creek",-117.966667,50.233333,"ADOPTED"
150,"Adams Harbour","Harbour",-128.113889,51.684722,"ADOPTED"
151,"Adams Hill","Hill",-119.633333,50.9,"ADOPTED"
152,"Adams Island","Island",-129.6,52.983333,"ADOPTED"
153,"Adams Lake","Lake",-119.583333,51.166667,"ADOPTED"
154,"Adams Lake","Lake",-124.916667,54.116667,"ADOPTED"
155,"Adams Lake","Community",-119.683333,50.966667,"ADOPTED"
156,"Adams Lake - Poplar Point Park","Provincial Park",-119.525,51.205556,"RESCINDED"
157,"Adams Lake Marine Park","Provincial Marine Park",-119.6,51.141667,"ADOPTED"
158,"Adams Lake Park","Provincial Park",-119.733333,50.983333,"ADOPTED"
159,"Adams Lake Recreation Area","Provincial Recreation Area",-119.733333,50.983333,"RESCINDED"
160,"Adams Plateau","Plateau",-119.55,51.05,"ADOPTED"
161,"Adams Point","Point",-128.983333,52.95,"ADOPTED"
162,"Adams River","River",-119.55,50.9,"ADOPTED"
163,"Adams River Recreation Area","Provincial Recreation Area",-119.6,50.916667,"RESCINDED"
164,"Mount Adams","Mount",-127.166667,50.983333,"ADOPTED"
165,"Mount Adams","Mount",-133.905556,59.101389,"ADOPTED"
166,"Adamson Rocks","Rocks",-125.15,48.9,"ADOPTED"
167,"Addenbroke Island","Island",-127.85,51.6,"ADOPTED"
168,"Addenbroke Point","Point",-127.783333,51.533333,"ADOPTED"
169,"Mount Addenbroke","Mount",-124.683333,50.233333,"ADOPTED"
170,"Adder Mountain","Mountain",-125.316667,49.25,"ADOPTED"
171,"Addington Point","Point",-122.666667,49.3,"ADOPTED"
172,"Adeane Point","Point",-125.683333,50.733333,"ADOPTED"
173,"Adelaide Lake","Lake",-127.066667,50.916667,"ADOPTED"
174,"Adelaide Point","Point",-127.366667,51.316667,"ADOPTED"
175,"Adelphi","Former Post Office",-119.75,50.466667,"RECORDED"
176,"Adelphi Creek","Creek",-119.816667,50.416667,"ADOPTED"
177,"Ades","Former Railway Point",-121.416667,49.75,"RESCINDED"
178,"Adieu Mountain","Mountain",-122.65,49.95,"ADOPTED"
179,"Adipose Peak","Peak",-117.255556,50.890278,"ADOPTED"
180,"Adit Creek","Creek",-122.85,50.033333,"ADOPTED"
181,"Adit Lakes","Lakes",-122.866667,50.033333,"ADOPTED"
182,"Adler Lake","Lake",-120.433333,51.133333,"ADOPTED"
183,"Admiral Group","Islands",-128.283333,52.033333,"ADOPTED"
184,"Admiral Island","Island",-123.483333,48.75,"RECORDED"
185,"Admiral Ridge","Ridge",-124.15,51.1,"ADOPTED"
186,"Admirals","Former Railway Point",-123.433333,48.433333,"RESCINDED"
187,"Admirals Road","Former Railway Point",-123.433333,48.433333,"RESCINDED"
188,"Admiralty Point","Point",-122.916667,49.3,"ADOPTED"
189,"Adolph Creek","Creek",-119.35,52.5,"ADOPTED"
190,"Adoogacho Creek","Creek",-127.65,57.55,"ADOPTED"
191,"Adra","Former Railway Point",-119.55,49.616667,"RESCINDED"
192,"Adrenaline Creek","Creek",-124.633333,48.566667,"ADOPTED"
193,"Adrian Creek","Creek",-125.416667,49.8,"ADOPTED"
194,"Adrian Lake","Lake",-122.983333,54.5,"ADOPTED"
195,"Mount Adrian","Mount",-125.533333,49.75,"ADOPTED"
196,"Adriana Creek","Creek",-126.916667,50.35,"ADOPTED"
197,"Adsett Creek","Creek",-122.766667,58.1,"ADOPTED"
198,"Adsit Creek","Creek",-130.5,58.916667,"ADOPTED"
199,"Adsit Lake","Lake",-130.483333,58.883333,"ADOPTED"
200,"Adskwatim Creek","Creek",-120.05,56.95,"ADOPTED"
201,"Advance Mountain","Mountain",-123.433333,56.05,"ADOPTED"
202,"Adventure Bay","Bay",-119.402778,50.227778,"ADOPTED"
203,"Adventure Cove","Cove",-125.85,49.2,"ADOPTED"
204,"Adventure Point","Point",-126.25,49.433333,"ADOPTED"
205,"Adze Head","Head",-124.433333,48.55,"ADOPTED"
206,"Adze Point","Point",-128.483333,52.766667,"ADOPTED"
207,"Aeneas Lake","Lake",-119.7,49.4,"ADOPTED"
208,"Mount Aeneas","Mount",-115.783333,50.433333,"ADOPTED"
209,"Aennofield","Former Post Office",-120.816667,56.233333,"RESCINDED"
210,"Aero","Former Locality",-131.959722,53.051389,"RESCINDED"
211,"Aeroplane Lake","Lake",-127.866667,59.35,"ADOPTED"
212,"Aeroplane Pass","Pass",-129.683333,59.183333,"ADOPTED"
213,"Affleck Creek","Creek",-119.216667,49.683333,"ADOPTED"
214,"Affleck Lake","Lake",-127.85,55.483333,"ADOPTED"
215,"Affliction Creek","Creek",-123.566667,50.683333,"ADOPTED"
216,"Affliction Glacier","Glacier",-123.583333,50.644444,"ADOPTED"
217,"Mount Afton","Mount",-117.5,51.233333,"ADOPTED"
218,"Agamemnon Bay","Bay",-123.983333,49.75,"ADOPTED"
219,"Agamemnon Channel","Channel",-124.066667,49.7,"ADOPTED"
220,"Agassiz","Community",-121.766667,49.233333,"ADOPTED"
221,"Agassiz Banks","Banks",-130.05,53.083333,"ADOPTED"
222,"Agassiz Slough","Slough",-121.75,49.233333,"ADOPTED"
223,"Mount Agassiz","Mount",-121.816667,49.283333,"ADOPTED"
224,"Agate","Locality",-121.116667,50.266667,"ADOPTED"
225,"Agate Bay","Bay",-119.766667,51.066667,"RESCINDED"
226,"Agate Creek","Creek",-121.133333,50.283333,"ADOPTED"
227,"Agate Mountain","Mountain",-120.408333,49.383333,"ADOPTED"
228,"Agats Meadow IR 8","Indian Reserve",-124.161111,52.283333,"ADOPTED"
229,"Agerton","Former Post Office",-122.8,50.316667,"RESCINDED"
230,"Aggie Creek","Creek",-122.65,50.716667,"ADOPTED"
231,"Agglomerate Island","Island",-131.416667,52.633333,"ADOPTED"
232,"Aglakumna IR 4A","Indian Reserve",-126.65,50.55,"ADOPTED"
233,"Aglakumna-la IR 2","Indian Reserve",-126.516667,50.566667,"ADOPTED"
234,"Aglakumnala Island","Island",-126.5,50.566667,"RESCINDED"
235,"Agnes Creek","Creek",-131.85,53.233333,"ADOPTED"
236,"Agnes Creek","Creek",-119.758333,50.823611,"ADOPTED"
237,"Agnes Creek","Creek",-121.566667,52.983333,"ADOPTED"
238,"Agnes Island","Island",-125.583333,49.116667,"ADOPTED"
239,"Agnes Lake","Lake",-124.125,49.959722,"ADOPTED"
240,"Agnes Lake","Lake",-127.65,51.666667,"ADOPTED"
241,"Agnes Point","Point",-122.9,54.85,"ADOPTED"
242,"Agnes Point","Point",-128.383333,52.366667,"ADOPTED"
243,"Mount Agnes","Mount",-121.533333,53,"ADOPTED"
244,"Agnew Bank","Bank",-130.316667,54.183333,"ADOPTED"
245,"Agnew Creek","Creek",-115.283333,49.3,"RESCINDED"
246,"Agnew Islet","Islet",-128.4,52.1,"ADOPTED"
247,"Agnew Passage","Passage",-123.991667,49.779167,"ADOPTED"
248,"Agnus Creek","Creek",-121.55,53.033333,"ADOPTED"
249,"Agnus Lake","Lake",-124.975,51.8875,"ADOPTED"
250,"Agodak Lake","Lake",-125.6,52.883333,"ADOPTED"
251,"Aguilar Point","Point",-125.133333,48.833333,"ADOPTED"
252,"Agur Glacier","Glacier",-125.266667,51.3,"ADOPTED"
253,"Agur Lake","Lake",-119.833333,49.583333,"ADOPTED"
254,"Mount Agur","Mount",-125.216667,51.3,"ADOPTED"
255,"Agwedin IR 3","Indian Reserve",-127.683333,55.383333,"ADOPTED"
256,"Ah Clem Creek","Creek",-129.1,59.2,"ADOPTED"
257,"Ah Clem Lake","Lake",-129.116667,59.183333,"ADOPTED"
258,"Ah Lock Creek","Creek",-124.666667,55.733333,"ADOPTED"
259,"Ah Lock Lake","Lake",-124.666667,55.716667,"ADOPTED"
260,"Ah-we-cha-ol-to IR 16","Indian Reserve",-127.966667,50.533333,"ADOPTED"
261,"Mount Ahab","Mount",-117.397222,50.986389,"ADOPTED"
262,"Ahahswinis IR 1","Indian Reserve",-124.816667,49.266667,"ADOPTED"
263,"Ahaminaquus IR 12","Indian Reserve",-126.116667,49.683333,"ADOPTED"
264,"Ahaminqas Creek","Creek",-126.115278,49.686111,"ADOPTED"
265,"Ahateset Village","Settlement",-126.85,49.883333,"RESCINDED"
266,"Ahbau","Railway Point",-122.401389,53.215278,"ADOPTED"
267,"Ahbau","Former Railway Point",-122.416667,53.225,"RESCINDED"
268,"Ahbau","Former Locality",-122.05,53.361111,"ADOPTED"
269,"Ahbau Creek","Creek",-122.5,53.166667,"ADOPTED"
270,"Ahbau Lake","Lake",-122.1,53.266667,"ADOPTED"
271,"Ahclakerho Channel","Channel",-127.5,51.283333,"ADOPTED"
272,"Ahclakerho Islands","Islands",-127.483333,51.266667,"ADOPTED"
273,"Ahdatay Creek","Creek",-124.85,55.216667,"ADOPTED"
274,"Ahdatay Lake","Lake",-124.95,55.35,"ADOPTED"
275,"Ahkuttock Creek","Creek",-115.3,49.383333,"RESCINDED"
276,"Ahlstrom Point","Point",-124.133333,49.783333,"ADOPTED"
277,"Ahluk Lake","Lake",-124.666667,55.716667,"RESCINDED"
278,"Ahmacinnit IR 3","Indian Reserve",-127.4,50.016667,"ADOPTED"
279,"Ahmacinnit Island","Island",-127.383333,50.016667,"ADOPTED"
280,"Ahmah Island","Island",-125.083333,48.95,"ADOPTED"
281,"Ahmitsa IR 5","Indian Reserve",-125.05,48.966667,"ADOPTED"
282,"Ahnuhati IR 6","Indian Reserve",-125.633333,50.9,"ADOPTED"
283,"Ahnuhati Point","Point",-125.633333,50.883333,"ADOPTED"
284,"Ahnuhati River","River",-125.633333,50.883333,"ADOPTED"
285,"Ahnuhati Valley","Valley",-125.65,50.9,"ADOPTED"
286,"Ahous Bay","Bay",-126.016667,49.183333,"ADOPTED"
287,"Ahous IR 16","Indian Reserve",-126.016667,49.166667,"ADOPTED"
288,"Ahous Point","Point",-126.016667,49.166667,"ADOPTED"
289,"Ahousat","Locality",-126.066667,49.283333,"ADOPTED"
290,"Ahpokum IR 9","Indian Reserve",-124.583333,50.233333,"ADOPTED"
291,"Ahpukto IR 3","Indian Reserve",-126.95,49.816667,"ADOPTED"
292,"Ahta IR 3","Indian Reserve",-126.166667,50.866667,"ADOPTED"
293,"Ahta River","River",-126.166667,50.866667,"ADOPTED"
294,"Ahta Valley","Valley",-126.166667,50.883333,"ADOPTED"
295,"Ahuk IR 1","Indian Reserve",-124.883333,48.716667,"ADOPTED"
296,"Ahwhichaolto Inlet","Inlet",-127.916667,50.533333,"ADOPTED"
297,"Aid Lake","Lake",-117.45,51.666667,"ADOPTED"
298,"Mount Aida","Mount",-124.716667,58.216667,"ADOPTED"
299,"Aiguille Peak","Peak",-116.666667,51.8,"ADOPTED"
300,"Aiken Lake","Lake",-125.75,56.433333,"ADOPTED"
301,"Mount Aiken","Mount",-124.566667,50.283333,"ADOPTED"
302,"Aikman Creek","Creek",-122.166667,56.516667,"ADOPTED"
303,"Aikman Passage","Passage",-129.116667,53.083333,"ADOPTED"
304,"Aikwucks IR 15","Indian Reserve",-123.166667,49.766667,"ADOPTED"
305,"Aileen Lake","Lake",-119.116667,50.1,"ADOPTED"
306,"Ailport Creek","Creek",-126.216667,54.466667,"ADOPTED"
307,"Ailport Lake","Lake",-126.133333,54.55,"ADOPTED"
308,"Ailsa Lake","Lake",-116.4,49.533333,"ADOPTED"
309,"Aimee Bay","Bay",-126.9,50.816667,"ADOPTED"
310,"Ain IR 6","Indian Reserve",-132.416667,53.733333,"ADOPTED"
311,"Ain Lake","Lake",-132.433333,53.766667,"ADOPTED"
312,"Ain River","River",-132.416667,53.733333,"ADOPTED"
313,"Ainslie Creek","Creek",-121.466667,49.95,"ADOPTED"
314,"Ainslie Point","Point",-123.254444,48.762222,"ADOPTED"
315,"Ainsworth","Post Office",-116.916667,49.733333,"RESCINDED"
316,"Ainsworth Cave","Cave",-116.916667,49.733333,"ADOPTED"
317,"Ainsworth Hot Springs","Community",-116.916667,49.733333,"ADOPTED"
318,"Ainsworth Hot Springs","Hotsprings / Hot Springs",-116.916667,49.733333,"ADOPTED"
319,"Air Point","Point",-126.45,50.583333,"ADOPTED"
320,"Airacobra Rock","Rock",-128.216667,51.766667,"ADOPTED"
321,"Aird Creek","Creek",-122.983333,53.783333,"ADOPTED"
322,"Aird Lake","Lake",-122.966667,53.783333,"ADOPTED"
323,"Airfield Creek","Creek",-122.569444,53.393056,"ADOPTED"
324,"Airline Lake","Lake",-125.066667,55.116667,"ADOPTED"
325,"Airplane Creek","Creek",-128.85,57.7,"ADOPTED"
326,"Airplane Creek","Creek",-121.6,49.116667,"ADOPTED"
327,"Airplane Lake","Lake",-133.233333,59.933333,"ADOPTED"
328,"Airplane Valley","Valley",-128.883333,57.666667,"ADOPTED"
329,"Airport Creek","Creek",-117.616667,49.3,"ADOPTED"
330,"Airy Creek","Creek",-117.7,49.566667,"ADOPTED"
331,"Airy Mountain","Mountain",-117.85,49.533333,"ADOPTED"
332,"Aiskew Island","Island",-129.766667,55.383333,"ADOPTED"
333,"Aiskew Point","Point",-129.766667,55.383333,"ADOPTED"
334,"Aitchelitch IR 9","Indian Reserve",-121.983333,49.15,"ADOPTED"
335,"Aitken Creek","Creek",-126.516667,54.45,"ADOPTED"
336,"Aitken Creek","Creek",-121.236111,56.675,"ADOPTED"
337,"Aitken Islands","Islands",-128.8,52.616667,"ADOPTED"
338,"Aitken Point","Point",-123.245278,48.847778,"ADOPTED"
339,"Mount Aitken","Mount",-122.366667,55.016667,"ADOPTED"
340,"Aiyansh","Post Office",-129.079167,55.204167,"ADOPTED"
341,"Aiyansh","Locality",-129.083333,55.266667,"RESCINDED"
342,"Aiyansh IR 1","Indian Reserve",-129.1,55.25,"RESCINDED"
343,"Aiyansh IR 83","Indian Reserve",-129.133333,55.2375,"RESCINDED"
344,"Aiyansh IR 87","Indian Reserve",-129.133333,55.220833,"RESCINDED"
345,"Ajax Bank","Bank",-124.716667,49.65,"ADOPTED"
346,"Aka Creek","Creek",-115.266667,50.133333,"ADOPTED"
347,"Akam Point","Point",-127.2,50.883333,"ADOPTED"
348,"Akamina Creek","Creek",-114.2,49.083333,"ADOPTED"
349,"Akamina Pass","Pass",-114.066667,49.033333,"ADOPTED"
350,"Akamina Ridge","Ridge",-114.1,49.016667,"ADOPTED"
351,"Akamina-Kishinena Park","Provincial Park",-114.2,49.025,"ADOPTED"
352,"Akan Creek","Creek",-114.683333,49.266667,"ADOPTED"
353,"Akanko Creek","Creek",-115.2,50.283333,"ADOPTED"
354,"Akasik Mountain","Mountain",-121.761111,50.238889,"ADOPTED"
355,"Akatl Pass","Pass",-114.7,49.25,"RESCINDED"
356,"Akehurst Lake","Lake",-120.466667,51.333333,"ADOPTED"
357,"Akenside Creek","Creek",-116.333333,50.733333,"ADOPTED"
358,"Akie Mountain","Mountain",-125,57.066667,"ADOPTED"
359,"Akie Mountains","Mountains",-124.883333,57.116667,"RESCINDED"
360,"Akie Range","Range",-124.883333,57.116667,"ADOPTED"
361,"Akie River","River",-125.116667,57.033333,"ADOPTED"
362,"Akieka Creek","Creek",-124.85,57.331944,"ADOPTED"
363,"Akimukoo Creek","Creek",-115.2,50.233333,"ADOPTED"
364,"Akinkoom Creek","Creek",-115.283333,50.283333,"ADOPTED"
365,"Akluky Creek","Creek",-123.016667,57.633333,"ADOPTED"
366,"Akokli Creek","Creek",-116.75,49.433333,"ADOPTED"
367,"Akokli Mountain","Mountain",-116.633333,49.466667,"ADOPTED"
368,"Akolkolex River","River",-118.033333,50.816667,"ADOPTED"
369,"Akoo Creek","Creek",-115.15,49.833333,"ADOPTED"
370,"Akookuk Creek","Creek",-115.283333,50.3,"ADOPTED"
371,"Akre Rocks","Rocks",-127.633333,50.533333,"ADOPTED"
372,"Aktaklin Lake","Lake",-124.916667,52.2,"ADOPTED"
373,"Aktis Island","Island",-127.4,50.016667,"ADOPTED"
374,"Akue Creek","Creek",-123.2,58.786111,"ADOPTED"
375,"Akunam Creek","Creek",-115.35,50.383333,"ADOPTED"
376,"Akus Lake","Lake",-125.8,55.716667,"ADOPTED"
377,"Akutlak Creek","Creek",-115.333333,50.15,"ADOPTED"
378,"Ala Narrows","Narrows",-129.9,53.516667,"ADOPTED"
379,"Ala Passage","Passage",-129.883333,53.525,"ADOPTED"
380,"Alah (Birch) Lake","Lake",-121.366667,52.383333,"RESCINDED"
381,"Alah Lake","Lake",-121.366667,52.383333,"ADOPTED"
382,"Mount Alain","Mount",-126.1,51.633333,"ADOPTED"
383,"Alalco IR 8","Indian Reserve",-126.533333,51.066667,"ADOPTED"
384,"Alamo","Abandoned Locality",-117.308333,50.004167,"ADOPTED"
385,"Alan Bank","Bank",-124.616667,49.816667,"ADOPTED"
386,"Mount Alan Campbell","Mount",-117.05,51.733333,"ADOPTED"
387,"Alan Creek","Creek",-130.6,60,"ADOPTED"
388,"Alan Reach","Reach",-128.633333,53.466667,"ADOPTED"
389,"Alana Lake","Lake",-122.783333,54.15,"ADOPTED"
390,"Alans Lake","Lake",-121,51.716667,"ADOPTED"
391,"Alaric Creek","Creek",-120.083333,49.566667,"ADOPTED"
392,"Alaric Lake","Lake",-120.166667,49.616667,"ADOPTED"
393,"Alarm Cove","Cove",-128.1,52.116667,"ADOPTED"
394,"Alarm Rock","Rock",-123.683333,48.95,"ADOPTED"
395,"Alarm Rocks","Rocks",-130.166667,53.566667,"ADOPTED"
396,"Alaska","Settlement",-118.533333,49.033333,"RESCINDED"
397,"Alasla Mountain","Mountain",-125.35,53.8,"ADOPTED"
398,"Alastair IR 80","Indian Reserve",-129.183333,54.133333,"ADOPTED"
